stimFileName	silencePre	silencePost	delayPost	intensity	freq	MODE
SIN_100_0_3000	1000	1000	0	1.0	100	
SIN_200_0_3000	1000	1000	0	1.0	200	
SIN_300_0_3000	1000	1000	0	1.0	300	
SIN_400_0_3000	1000	1000	0	1.0	400	
SIN_500_0_3000	1000	1000	0	1.0	500	
SIN_600_0_3000	1000	1000	0	1.0	600	
SIN_700_0_3000	1000	1000	0	1.0	700	
SIN_800_0_3000	1000	1000	0	1.0	800	
SIN_900_0_3000	1000	1000	0	1.0	900	
SIN_1000_0_3000	1000	1000	0	1.0	1000	
SIN_1500_0_3000	1000	1000	0	1.0	1500	
SIN_2000_0_3000	1000	1000	0	1.0	2000	
SIN_100_0_3000	1000	1000	0	2.0	100	
SIN_200_0_3000	1000	1000	0	2.0	200	
SIN_300_0_3000	1000	1000	0	2.0	300	
SIN_400_0_3000	1000	1000	0	2.0	400	
SIN_500_0_3000	1000	1000	0	2.0	500	
SIN_600_0_3000	1000	1000	0	2.0	600	
SIN_700_0_3000	1000	1000	0	2.0	700	
SIN_800_0_3000	1000	1000	0	2.0	800	
SIN_900_0_3000	1000	1000	0	2.0	900	
SIN_1000_0_3000	1000	1000	0	2.0	1000	
SIN_1500_0_3000	1000	1000	0	2.0	1500	
SIN_2000_0_3000	1000	1000	0	2.0	2000	
SIN_100_0_3000	1000	1000	0	4.0	100	
SIN_200_0_3000	1000	1000	0	4.0	200	
SIN_300_0_3000	1000	1000	0	4.0	300	
SIN_400_0_3000	1000	1000	0	4.0	400	
SIN_500_0_3000	1000	1000	0	4.0	500	
SIN_600_0_3000	1000	1000	0	4.0	600	
SIN_700_0_3000	1000	1000	0	4.0	700	
SIN_800_0_3000	1000	1000	0	4.0	800	
SIN_900_0_3000	1000	1000	0	4.0	900	
SIN_1000_0_3000	1000	1000	0	4.0	1000	
SIN_1500_0_3000	1000	1000	0	4.0	1500	
SIN_2000_0_3000	1000	1000	0	4.0	2000	
